partitions,size,time,accuracy,orthogonality
10,0.25,0.5231003761291504,1.896727131333866e-15,5.893646595420356e-16
10,0.5,0.7784860134124756,3.033120448621355e-15,7.713496989202563e-16
10,0.75,0.9934749603271484,2.6815515540842694e-15,9.939864741811995e-16
10,1.0,1.1672430038452148,4.091069408157836e-15,1.404944583749197e-15
20,0.25,0.6077587604522705,1.717948167105366e-15,6.761075978459481e-16
20,0.5,0.8705699443817139,1.935292960541907e-15,9.160077626684611e-16
20,0.75,1.1659224033355713,2.6174428432419557e-15,7.032128734917088e-16
20,1.0,1.5347068309783936,2.8646727502941126e-15,6.672248862200397e-16
50,0.25,1.1237456798553467,9.715504086220354e-16,9.933639895607474e-16
50,0.5,1.1473369598388672,1.3182777012395439e-15,1.0766384748302055e-15
50,0.75,1.3574090003967285,1.6028215644215989e-15,6.572203435165857e-16
50,1.0,1.7627644538879395,1.5731168913566248e-15,5.443625735104442e-16
100,0.25,1.6421339511871338,8.84277642431942e-16,4.447477165665387e-16
100,0.5,1.8182237148284912,1.0988809142621982e-15,7.853109379936465e-16
100,0.75,2.060720920562744,1.2018266017665979e-15,5.554436394606862e-16
100,1.0,3.007492780685425,1.4292205511355776e-15,9.08896334280105e-16
